Repository,AI_Score,Pre_Commits,Post_Commits,Commits_Change_Percent,Pre_Issues,Post_Issues,Issues_Change_Percent,Pre_Avg_Resolution_Hours,Post_Avg_Resolution_Hours,Pre_Fix_Percent,Post_Fix_Percent,MI_Change_Percent
goauthentik/authentik,4,1000,1000,0.0,178,1003,460.89,2409.8287666666665,4250.991432702419,23.8,38.1,-4.537697615168081
onnx/onnx,10,99,247,149.49,689,205,-70.14,14879.815004546956,10080.584531746032,62.62626262626263,79.35222672064778,5.127808704450611
PrefectHQ/prefect,5,1000,1000,0.0,547,777,41.97,11213.53028031688,8689.542636475337,16.2,28.000000000000004,-0.1971820371119516
huggingface/datasets,3,566,106,-81.27,643,153,-76.09,5731.530848036126,4102.708163841808,53.003533568904594,48.11320754716981,-23.53383812627945
sanic-org/sanic,3,104,34,-67.31,143,51,-63.89,5171.565744274809,10388.825130208334,44.230769230769226,47.05882352941176,0.3173249456219862
kivy/kivy,3,46,65,41.3,794,54,-93.08,35115.02262641723,3642.3750555555553,67.3913043478261,55.38461538461539,1.4363801133516152
huggingface/sentence-transformers,3,89,386,333.71,439,79,-81.82,3457.9322468527644,2206.3248692810457,26.96629213483146,22.53886010362694,-4.945253420042959
caronc/apprise,4,54,110,103.7,87,92,5.68,6026.478942436413,9359.378116096865,18.51851851851852,15.454545454545451,-0.6368923303453322
laramies/theHarvester,3,269,204,-24.16,71,16,-76.39,6065.989190140845,15087.103849206353,28.25278810408922,32.35294117647059,-13.820197952390426
NVIDIA-NeMo/NeMo,10,303,292,-3.63,394,272,-30.89,1360.310095177665,2271.2994606256743,63.03630363036304,56.16438356164384,-15.1445459634558
NVIDIA/Megatron-LM,7,336,1000,197.62,111,557,398.21,23852.27472222223,4096.013991656491,23.214285714285715,27.800000000000004,-4.622097704139768
wkentaro/labelme,2,38,859,2160.53,210,41,-80.09,8553.284364672365,4999.338303303302,31.57894736842105,23.51571594877765,-8.679151096440094
hummingbot/hummingbot,3,1000,1000,0.0,1217,115,-90.48,8387.426921418773,2799.479736111111,29.2,29.3,-5.2697560089476765
ansible/awx,3,828,187,-77.42,1806,76,-95.74,10684.73100939373,2070.692847222222,26.44927536231884,46.524064171122994,-2.981748815654673
dagster-io/dagster,7,1000,1000,0.0,1149,776,-32.43,10208.16279650834,15605.701861176163,24.2,52.7,-4.998921933654402
lra/mackup,6,58,48,-17.24,86,11,-86.21,35783.288658392434,58857.36493055555,13.79310344827586,14.583333333333334,-8.147440019427464
Nuitka/Nuitka,6,836,877,4.9,1061,205,-80.6,5168.269633428754,5645.140124209574,25.47846889952153,31.92702394526796,-3.887740712877615
beetbox/beets,5,266,1000,275.94,1007,1238,22.92,9636.157459989505,7725.538138917147,21.052631578947366,30.9,-0.2135151307932219
pyodide/pyodide,5,208,166,-20.19,330,80,-75.53,13195.201194241688,5596.203909722222,26.923076923076923,22.289156626506024,-0.9858863142832544
nltk/nltk,6,181,307,69.61,227,48,-78.51,13494.892695413437,5099.526649305555,32.59668508287293,43.32247557003257,-0.6340873664961159
scipy/scipy,3,979,1000,2.15,1592,642,-59.64,25702.21488707681,11532.33849217311,31.46067415730337,29.0,-2.9519943050801087
idank/explainshell,2,2,438,21800.0,92,102,10.75,65015.74105620154,58291.4259315376,50.0,36.07305936073059,-28.801293788251524
